Dataset,Index,speedup@0.80,speedup@0.90,speedup@0.95,speedup@0.99
SIFT1M,SuCo,0.039,0.053,0.066,0.09
SIFT1M,SHG,0.519 ± 0.001,0.632,0.63 ± 0.004,0.681
SIFT1M,CSPG,0.705 ± 0.004,0.704 ± 0.001,0.681 ± 0.004,0.663 ± 0.001
SIFT1M,HNSW32,1 ± 0.003,1,1 ± 0.008,1
SIFT1M,HNSW48,0.745 ± 0.003,0.893 ± 0.001,0.877 ± 0.005,0.928
SIFT1M,OPQ-IVFPQ,—,—,—,—
SIFT10M,SuCo,0.002,0.003,0.004,0.01 ± 0.001
SIFT10M,SHG,0.6 ± 0.001,0.624 ± 0.01,0.657 ± 0.001,0.682
SIFT10M,CSPG,0.703 ± 0.004,0.695 ± 0.01,0.666 ± 0.001,0.601 ± 0.001
SIFT10M,HNSW32,1 ± 0.003,1 ± 0.03,1 ± 0.002,1 ± 0.001
SIFT10M,HNSW48,0.87 ± 0.002,0.879 ± 0.01,0.901 ± 0.01,0.914 ± 0.001
SIFT10M,OPQ-IVFPQ,—,—,—,—
GIST1M,SuCo,0.255 ± 0.001,0.382 ± 0.003,0.478 ± 0.004,0.547 ± 0.003
GIST1M,SHG,0.711 ± 0.002,0.811 ± 0.001,0.874 ± 0.002,1.284 ± 0.004
GIST1M,CSPG,0.861 ± 0.008,0.871 ± 0.007,0.846 ± 0.002,0.942 ± 0.008
GIST1M,HNSW32,1 ± 0.003,1 ± 0.001,1 ± 0.003,1 ± 0.004
GIST1M,HNSW48,0.765 ± 0.002,0.841 ± 0.001,0.923 ± 0.002,1.256 ± 0.004
GIST1M,OPQ-IVFPQ,—,—,—,—
DEEP1M,SuCo,0.029,0.044,0.059,0.099
DEEP1M,SHG,0.523 ± 0.002,0.626 ± 0.001,0.655 ± 0.002,0.734 ± 0.002
DEEP1M,CSPG,0.799 ± 0.01,0.872 ± 0.002,0.868 ± 0.002,0.778 ± 0.002
DEEP1M,HNSW32,1 ± 0.005,1 ± 0.002,1 ± 0.002,1 ± 0.002
DEEP1M,HNSW48,0.733 ± 0.004,0.863 ± 0.002,0.891 ± 0.002,0.992 ± 0.002
DEEP1M,OPQ-IVFPQ,—,—,—,—
DEEP10M,SuCo,0.001,0.002,0.003,0.009
DEEP10M,SHG,0.596 ± 0.001,0.629 ± 0.02,0.638 ± 0.001,0.769
DEEP10M,CSPG,0.747 ± 0.001,0.749 ± 0.03,0.757 ± 0.002,0.687 ± 0.001
DEEP10M,HNSW32,1 ± 0.001,1 ± 0.05,1 ± 0.002,1 ± 0.001
DEEP10M,HNSW48,0.823 ± 0.001,0.861 ± 0.03,0.868 ± 0.002,1.041 ± 0.001
DEEP10M,OPQ-IVFPQ,—,—,—,—
SPACEV10M,SuCo,0.001,0.003,0.008,—
SPACEV10M,SHG,0.593 ± 0.001,0.744 ± 0.001,0.941 ± 0.001,—
SPACEV10M,CSPG,0.847 ± 0.001,0.927 ± 0.001,0.889 ± 0.001,—
SPACEV10M,HNSW32,1 ± 0.001,1 ± 0.001,1,—
SPACEV10M,HNSW48,0.918 ± 0.001,1.043 ± 0.001,1.26,—
SPACEV10M,OPQ-IVFPQ,—,—,—,—
MSong,SuCo,0.025 ± 0.001,0.024,0.02,0.013
MSong,SHG,0.478 ± 0.02,0.602 ± 0.01,0.702 ± 0.01,0.873 ± 0.007
MSong,CSPG,0.226 ± 0.01,0.241 ± 0.004,0.244 ± 0.004,0.212 ± 0.002
MSong,HNSW32,1 ± 0.06,1 ± 0.02,1 ± 0.01,1 ± 0.005
MSong,HNSW48,0.558 ± 0.03,0.701 ± 0.01,0.809 ± 0.008,0.98 ± 0.004
MSong,OPQ-IVFPQ,0.239 ± 0.01,—,—,—
OpenAI1M,SuCo,0.049,0.026,0.014,0.018
OpenAI1M,SHG,0.713 ± 0.001,0.713 ± 0.001,0.713 ± 0.001,0.463
OpenAI1M,CSPG,0.797 ± 0.003,0.797 ± 0.003,0.797 ± 0.003,1.1 ± 0.001
OpenAI1M,HNSW32,1 ± 0.001,1 ± 0.001,1 ± 0.001,1 ± 0.001
OpenAI1M,HNSW48,0.729 ± 0.001,0.729 ± 0.001,0.729 ± 0.001,0.455
OpenAI1M,OPQ-IVFPQ,—,—,—,—
UQ-V,SuCo,0.045,—,—,—
UQ-V,SHG,1.186 ± 0.002,—,—,—
UQ-V,CSPG,0.832 ± 0.001,—,—,—
UQ-V,HNSW32,1 ± 0.001,—,—,—
UQ-V,HNSW48,1.065 ± 0.002,—,—,—
UQ-V,OPQ-IVFPQ,0.361 ± 0.001,—,—,—
